,Reporter,Partner,Trade_Indicator,CountryPair,L3
248,Albania,Jordan,0.0,C008C400,N03
249,Albania,Kenya,0.0,C008C404,N03
250,Albania,"Korea, Republic of",0.0005,C008C410,N03
251,Albania,"Kuwait, the State of",0.0,C008C414,N03
252,Albania,Kyrgyz Republic,0.0,C008C417,N03
253,Albania,Lao PDR,0.0,C008C418,N03
254,Albania,Lebanese Republic,0.0,C008C422,N03
255,Albania,Lesotho,0.0,C008C426,N03
256,Albania,Latvia,0.0034000000000000002,C008C428,N03
257,Albania,Libya,0.0,C008C434,N03
258,Albania,Lithuania,0.0,C008C440,N03
259,Albania,Luxembourg,0.0,C008C442,N03
260,Albania,"Macao, China",0.0,C008C446,N03
261,Albania,Madagascar,0.0,C008C450,N03
262,Albania,Malawi,0.0,C008C454,N03
263,Albania,Malaysia,0.0,C008C458,N03
264,Albania,Maldives,0.0,C008C462,N03
265,Albania,Mali,0.0,C008C466,N03
266,Albania,Malta,0.0,C008C470,N03
267,Albania,Mauritania,0.0,C008C478,N03
268,Albania,Mauritius,0.0,C008C480,N03
269,Albania,Mexico,0.0,C008C484,N03
270,Albania,Mongolia,0.0,C008C496,N03
271,Albania,"Moldova, Republic of",0.0,C008C498,N03
272,Albania,Morocco,0.0,C008C504,N03
273,Albania,Mozambique,0.0,C008C508,N03
274,Albania,Oman,0.0,C008C512,N03
